datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2017-06-22,112826559.29885767,-0.007380681156838901,2403857997.3877563,0.20386783266124814,2355338.9427261674,0.00020367449002737888,112220007.56476443,606551.7340932558,0.0006632804870605469
2017-06-23,113697249.88791846,0.007941139471513281,2429100231.540608,0.22372599421373252,2380619.7971485765,0.00022406829189432746,113038738.46913198,658511.4187864834,0.009063124656677246
2017-06-26,115286432.93049186,0.01419107839277364,2453402689.188081,0.2137471018114331,2404923.340777394,0.0002137566533295713,114650053.09264496,636379.8378469096,0.012479066848754883
2017-06-27,115310289.12834583,0.00043316224647104725,2479448953.401438,0.2259265340359796,2431004.873199232,0.00022623245215300418,114629454.40596025,680834.7223855876,0.001807570457458496
2017-06-28,114099004.0713829,-0.010309530944366822,2501970516.626948,0.19531269408614588,2453494.9361896026,0.00019503951607768638,113503659.8822639,595344.1891190019,-0.007769346237182617
2017-06-29,114819015.41170862,0.0065151075199218625,2525304365.643761,0.20450528211635483,2476850.8753049364,0.00020469888677312063,114202846.96466517,616168.4470434412,0.006214737892150879
2017-06-30,114784612.9924092,-0.00013364411082914836,2544403147.703804,0.1663381452241165,2495908.409383384,0.00016597890175344796,114269998.04263343,514614.9497757694,-0.0005533099174499512
2017-07-03,114741368.40102853,-0.00020732884167469064,2563842719.407001,0.16935694773377472,2515354.839910261,0.00016941670159364332,114232482.23442125,508886.1666072807,-0.004349887371063232
2017-07-04,114231599.77318747,-0.0042747709420143465,2583109439.5812283,0.16791433153288535,2534630.4002636364,0.00016799137592647643,113724308.8086358,507290.9645516663,-0.008455514907836914
2017-07-05,115708560.08073433,0.013097352654921313,2602272972.982949,0.16776035212472445,2553801.639282048,0.00016782780821136437,115205029.12181918,503530.958915147,0.010966897010803223
2017-07-06,115722389.9381757,0.00023385407100919397,2615568619.2131524,0.11490633208923128,2567030.699666174,0.0001143308703772261,115365259.73180196,357130.2063737365,0.00011467933654785156
2017-07-07,115270982.35429126,-0.003749580761865139,2633008400.9491663,0.15070360839705293,2584527.8365213675,0.00015119923520885803,114816639.04641289,454343.3078783704,-0.0011392831802368164
2017-07-10,114715509.50395581,-0.004669133981883494,2649096490.0517344,0.13956755441816732,2601785.0260213027,0.0001497097460911219,111940222.59084366,2775286.913112147,-0.0006127357482910156
2017-07-11,115139777.41410492,0.003823327976980341,2664569908.46974,0.13488514748279862,2616112.1327522187,0.0001248924996529961,114671440.98190247,468336.43220245396,0.004685640335083008
2017-07-12,114665302.27336064,-0.003924957551190912,2687056289.6059074,0.1952963749034735,2638668.5346925706,0.00019590451229749035,114079480.63473101,585821.638629626,-0.0032663345336914062
2017-07-13,114540506.46496174,-0.0008658118944484176,2712519377.5773153,0.2220644559999869,2664185.760502674,0.00022253659393205836,113871926.37475237,668580.090209364,0.007680058479309082
